user,rating
Kaanaitabashi,Bottle,4.5
ChristianArafol,Bottle,4.5
Sad_Albert,Bottle,3.5
henkkie55,,3.75
pbhise,Bottle,4.5
martindenyer71,Bottle,3.5
BartMoret,,3.75
APjr,,3.75
Gil_the_grill,Bottle,4.5
tek_22,,2.75
Therealbigmike9,Bottle,3.5
jsmets,,3.75
DeadRed233,,3.75
Connormaker,Bottle,4.5
kiidflash,,2.75
alexchialastri,Bottle,3.5
BrandyPerry,Bottle,3.0
MatsGouverneur,,3.75
stigmau,,3.75
Mattalv11,Draft,3.0
Redmonaro,Bottle,3.75
homolupulus,,3.75
lexyayotte,Bottle,4.5
adthrelfall,Bottle,3.5
wizofclay,Draft,3.0
abernauer,Bottle,3.25
Pdkersch,,2.75
hlconger,Bottle,3.5
Baronofbattlefield,Bottle,3.0
BramHuntink,,3.75
Woods100,,3.75
Kees1959,Draft,3.0
had2muchbeer,Draft,3.0
dhstallman,Bottle,3.75
KimmiAnn,,3.75
Cookietx,Bottle,4.5
adejong232,Bottle,3.5
mattno14,Draft,3.0
Rgeurink,Bottle,3.25
Jonnymiller2015,,2.75
Butscrathchar,,2.75
kiidflash,,4.0
seanholland,Bottle,3.5
amfansle,Bottle,3.0
KoningBaukeJan,,3.75
Vandeheldere,Draft,3.0
MrBekkers,,3.75
JordiKonings,,3.75
Luizseidl18,Bottle,3.75
Kfitz767,,3.75
sewano,Bottle,4.5
kiidflash,,3.5
MrNeef,Bottle,4.0
de-beer,Bottle,3.5
tsamaya,Bottle,3.5
wartotojas,Draft,3.0
Hanz73,Draft,3.0
Keshavp,Bottle,3.25
jbcutting,,2.75
seanpoz1989,,4.0
hapaxant,Bottle,3.5
cinnamon228,Bottle,3.0
Jrn_n,,3.75
KenDrinktHier,,3.75
mjcewl1284,Draft,3.0
Lijanne,,3.75
bootyfoos,Bottle,3.75
tammit,,3.75
Mcfojo,Bottle,4.5
jep1025,Bottle,4.5
nickjensen948,,3.5
JulianChiron,Bottle,4.0
Kooschroome,Bottle,4.0
Grosji,Bottle,3.5
jimmidill,Draft,3.0
DonPaco,Bottle,3.25
Davidj124,Can,3.5
tcoate,,2.75
thedude332,,4.0
headalien,,4.0
hambly,Bottle,3.5
vocoda,Bottle,3.0
pplemoki,,3.75
GhostHobgoblin,Draft,3.0
mdammers,Draft,3.0
scholtenmartijn,,3.75
MadGuy,Bottle,3.75
chadthe,,3.75
Jayrod343,Bottle,4.5
shadowdragonlord,Bottle,4.5
Beerfly66,,3.5
DiscoverLocal,,3.5
djanzzn,Bottle,4.0
bullitt91,Bottle,3.5
Thijsev,Draft,3.0
magneohm,Bottle,3.25
Miki987,Can,3.5
jep1025,,4.0
stubbyluver,,2.75
Hippiedonut,Bottle,3.5
ROBIROSA,Bottle,3.0
pplemoki,,3.75
Jokovdv,,3.75
mluxen,Draft,3.0
callitoff,,3.75
Woudjansen,,3.75
SinHippie,Bottle,3.75
justinrhunter,Bottle,4.5
Mgally_31,,3.75
chevy1969,,3.5
mellem78,Bottle,4.0
wimmen,Bottle,4.0
TimHickford,Bottle,3.5
BaileyHoare,Draft,3.0
danbanks1,Bottle,3.25
chadlandgraf,Bottle,3.5
kiidflash,,3.5
kell0ggs,Can,3.5
evogel1993,,4.0
jaygoody,,4.0
Thingus,,2.75
ericmcire,Bottle,3.5
Pasanti,Bottle,3.0
henkkie55,,3.75
gsantos88,,3.75
gsantos88,,3.75
chappyj,Draft,3.0
mkwells906,Bottle,3.75
jameslemieux7,Bottle,4.5
djsmith001,,3.75
babybutton522,,3.5
bradleysbell9,Bottle,4.0
Smooth___Hoperator,Bottle,3.5
Mayenco,Draft,3.0
Borgeos,Bottle,3.25
landoncharles,Bottle,3.5
ARScar17,,3.5
klerk01,Can,3.5
wolorn,Can,3.5
jsel20,,4.0
Flodiesel,,2.75
BeerWSandford,Bottle,3.5
bharatichandran,Bottle,3.0
DeNeel,,3.75
Meules,,3.75
Beerolix,,3.75
Schepaandekook,Draft,3.0
dewey80,Bottle,3.75
mleuer,Bottle,4.5
Jsmartinelli,,3.75
kevincox3133,,3.5
trafikdoktorn,Bottle,4.0
CTenuta77,Bottle,3.5
billybambo,Bottle,3.5
AAugustine,Draft,3.0
Bierpulleke,Taster,3.5
HoboWorldwide,Bottle,2.5
TenStacy,Can,3.5
JavierRubio4U,Bottle,3.25
taifly728,Bottle,3.5
john612,Bottle,3.5
EsaH,,3.5
kiidflash,Can,3.5
Teun050,Can,3.5
bhiltz1711,,4.0
edward26,,2.75
Skellysquid,Bottle,3.5
Stridsvagn,,3.75
captainroy,,3.75
jpedrot,Bottle,3.0
JorisVerh,,3.75
kozumel,Draft,3.0
JakeCMarion,Bottle,3.75
bpinde1,Bottle,3.75
Roonyx,,3.75
jtoom5,,3.5
jmgarde,Bottle,4.0
horalarcon,Bottle,3.5
Raymond80,Draft,3.0
hainge,Taster,3.5
mhw,Bottle,2.5
crbrenny,Can,3.5
Dundil,Bottle,3.25
AlmuValero,Bottle,3.25
ndurantz,Bottle,3.5
kiidflash,,3.5
rafraf69,,3.25
xskix598,,3.5
007Jeroen,Can,3.5
InjunJoe,,3.5
Beer_Bear17,,4.0
Richardmillsjr,,4.0
calbear9,,2.75
chefdougstinson,Bottle,3.5
Ron2V,,3.75
betakoji,Bottle,3.0
Phanttomi,Bottle,3.0
Stefanjans85,,3.75
Biggs21,Bottle,3.75
shampookauppias,Draft,3.0
bobbybecher,,3.75
fmcd925,,3.5
meskuz,Bottle,4.0
Tompayne37,Bottle,4.0
patriciotapia,Bottle,3.5
_dahle,Draft,3.0
heikkiyrjola,Taster,3.5
Big_Fat_Dan,Bottle,2.5
loungechair,Can,3.5
Schepaandekook,Bottle,3.25
hrclprt,Bottle,3.25
AGillick,Bottle,3.5
RedLantern,,3.5
kiidflash,,3.25
matthewang_18,,3.5
cotsan,,3.5
SDxt,Can,3.5
meyersn8,,3.5
Will_PSU,,4.0
keithag06,,2.75
cooterthug69,,2.75
Melissaheatherly13,Bottle,3.5
sjuj4y,Bottle,3.0
gwfoxwv,Bottle,3.75
Endorian,Draft,3.0
wfrank05,,3.75
HeathLedger,,3.75
Jorman1086,,3.5
jeankes2,Bottle,4.0
sebloonen,Bottle,4.0
arlon,Bottle,3.5
Hzzz5,Draft,3.0
phil-s,Taster,3.5
NignogCheerios22,Bottle,2.5
Rnoice1,Bottle,2.5
aritter033,Can,3.5
jetmechnor,Bottle,3.25
coryostrowski,Bottle,3.5
maicha28,Bottle,3.5
watersk72,,3.5
patpatflynnflynn,,3.5
Obamabuemi,,3.25
Deguchi,,3.25
Edgeyfive,Can,3.5
Connormaker,,3.5
clholiday,,4.0
Chrome22z,,2.75
mjamison,Bottle,3.5
leepui,Bottle,3.0
AjaxBU,Bottle,3.0
dmcdowell523,Bottle,3.75
MattyG328,Draft,3.0
drchaos,,3.75
landoncharles,,3.5
Steffen0,Bottle,4.0
jep1025,Bottle,3.5
Shad2014,Draft,3.0
Duperbarbe,Bottle,2.5
Meelan,Bottle,2.5
Enk89,Taster,3.5
Biernelis,Taster,3.5
lizzardwizzard,Can,3.5
petrik024,Bottle,3.25
adamhardin,Bottle,3.5
watersk72,,3.5
billybambo,,3.5
ACrane7694,,3.25
GavHipflask,,3.5
lucaerts,Can,3.5
rgcm1027,,3.5
cjin322,,3.5
Richardmillsjr,,4.0
mariaass,Bottle,3.0
trevj2012,Bottle,3.75
